p	trial_divisor	remainder
241441	451	156
241441	452	73
241441	453	445
241441	454	367
241441	455	291
241441	456	217
241441	457	145
241441	458	75
241441	459	7
241441	460	401
241441	461	338
241441	462	277
241441	463	218
241441	464	161
241441	465	106
241441	466	53
241441	467	2
241441	468	421
241441	469	375
241441	470	331
241441	471	289
241441	472	249
241441	473	211
241441	474	175
241441	475	141
241441	476	109
241441	477	79
241441	478	51
241441	479	25
241441	480	1
241441	481	460
241441	482	441
241441	483	424
241441	484	409
241441	485	396
241441	486	385
241441	487	376
241441	488	369
241441	489	364
241441	490	361
241441	491	360
2689	2	1
2689	3	1
2689	4	1
2689	5	4
2689	6	1
2689	7	1
2689	8	1
2689	9	7
2689	10	9
2689	11	5
2689	12	1
2689	13	11
2689	14	1
2689	15	4
2689	16	1
2689	17	3
2689	18	7
2689	19	10
2689	20	9
2689	21	1
2689	22	5
2689	23	21
2689	24	1
2689	25	14
2689	26	11
2689	27	16
2689	28	1
2689	29	21
2689	30	19
2689	31	23
2689	32	1
2689	33	16
2689	34	3
2689	35	29
2689	36	25
2689	37	25
2689	38	29
2689	39	37
2689	40	9
2689	41	24
2689	42	1
2689	43	23
2689	44	5
2689	45	34
2689	46	21
2689	47	10
2689	48	1
2689	49	43
2689	50	39
2689	51	37
12721	2	1
12721	3	1
12721	4	1
12721	5	1
12721	6	1
12721	7	2
12721	8	1
12721	9	4
12721	10	1
12721	11	5
12721	12	1
12721	13	7
12721	14	9
12721	15	1
12721	16	1
12721	17	5
12721	18	13
12721	19	10
12721	20	1
12721	21	16
12721	22	5
12721	23	2
12721	24	1
12721	25	21
12721	26	7
12721	27	4
12721	28	9
12721	29	19
12721	30	1
12721	31	11
12721	32	17
12721	33	16
12721	34	5
12721	35	16
12721	36	13
12721	37	30
12721	38	29
12721	39	7
12721	40	1
12721	41	11
12721	42	37
12721	43	36
12721	44	5
12721	45	31
12721	46	25
12721	47	31
12721	48	1
12721	49	30
12721	50	21
12721	51	22
12721	52	33
12721	53	1
12721	54	31
12721	55	16
12721	56	9
12721	57	10
12721	58	19
12721	59	36
12721	60	1
12721	61	33
12721	62	11
12721	63	58
12721	64	49
12721	65	46
12721	66	49
12721	67	58
12721	68	5
12721	69	25
12721	70	51
12721	71	12
12721	72	49
12721	73	19
12721	74	67
12721	75	46
12721	76	29
12721	77	16
12721	78	7
12721	79	2
12721	80	1
12721	81	4
12721	82	11
12721	83	22
12721	84	37
12721	85	56
12721	86	79
12721	87	19
12721	88	49
12721	89	83
12721	90	31
12721	91	72
12721	92	25
12721	93	73
12721	94	31
12721	95	86
12721	96	49
12721	97	14
12721	98	79
12721	99	49
12721	100	21
12721	101	96
12721	102	73
12721	103	52
12721	104	33
12721	105	16
12721	106	1
12721	107	95
12721	108	85
12721	109	77
12721	110	71
12721	111	67
12721	112	65
1201	2	1
1201	3	1
1201	4	1
1201	5	1
1201	6	1
1201	7	4
1201	8	1
1201	9	4
1201	10	1
1201	11	2
1201	12	1
1201	13	5
1201	14	11
1201	15	1
1201	16	1
1201	17	11
1201	18	13
1201	19	4
1201	20	1
1201	21	4
1201	22	13
1201	23	5
1201	24	1
1201	25	1
1201	26	5
1201	27	13
1201	28	25
1201	29	12
1201	30	1
1201	31	23
1201	32	17
1201	33	13
1201	34	11
2521	2	1
2521	3	1
2521	4	1
2521	5	1
2521	6	1
2521	7	1
2521	8	1
2521	9	1
2521	10	1
2521	11	2
2521	12	1
2521	13	12
2521	14	1
2521	15	1
2521	16	9
2521	17	5
2521	18	1
2521	19	13
2521	20	1
2521	21	1
2521	22	13
2521	23	14
2521	24	1
2521	25	21
2521	26	25
2521	27	10
2521	28	1
2521	29	27
2521	30	1
2521	31	10
2521	32	25
2521	33	13
2521	34	5
2521	35	1
2521	36	1
2521	37	5
2521	38	13
2521	39	25
2521	40	1
2521	41	20
2521	42	1
2521	43	27
2521	44	13
2521	45	1
2521	46	37
2521	47	30
2521	48	25
2521	49	22
2521	50	21
21169	2	1
21169	3	1
21169	4	1
21169	5	4
21169	6	1
21169	7	1
21169	8	1
21169	9	1
21169	10	9
21169	11	5
21169	12	1
21169	13	5
21169	14	1
21169	15	4
21169	16	1
21169	17	4
21169	18	1
21169	19	3
21169	20	9
21169	21	1
21169	22	5
21169	23	9
21169	24	1
21169	25	19
21169	26	5
21169	27	1
21169	28	1
21169	29	28
21169	30	19
21169	31	27
21169	32	17
21169	33	16
21169	34	21
21169	35	29
21169	36	1
21169	37	5
21169	38	3
